trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.88608323290366,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,8,-106.69375897448933,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-21.023449575650027,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-80.44583857539634,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,12,-57.68003001279008,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-78.08592169357263,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-51.879989329421285,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-275.7375046063154,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-107.08251988691293,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,3,-107.76684512878835,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-180.82411340579253,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,6,-43.4682136402005,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,14,-31.226412263386713,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-216.25423076045738,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-20.606053386676713,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-67.82182958058391,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-31.126026800380718,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-3.331342637556573,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,21.734237753008195,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,6.058074597309794,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,17.688048338023396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-23.002296775516413,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-21.553193975997093,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,29.151071962303714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,-50.4375726010773,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,12,-21.398389365272322,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,7.461768946375736,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,13,-38.37949495486553,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-22.762939494463655,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,13.6638319474727,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
