trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-96.88175481542694,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9981690966883889}",25,0,-84.5091291775483,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9963415455837143}",25,0,-93.63068933636715,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9945173405484095}",20,0,-44.59533745929176,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.9926964754561448}",20,0,-13.832015050948753,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.9908789441918076}",20,0,-91.94714766194937,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9890647406514811}",25,0,-45.91915184605621,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9872538587424247}",30,0,-221.4448607212637,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.9854462923830524}",20,1,-114.39145889298338,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.4, 'e': 0.9836420355029134}",20,0,-75.65251321641674,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9818410820426713}",25,0,-155.83158069721705,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.9800434259540836}",30,0,-189.33037858503013,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9782490611999817}",25,0,-194.51724693412055,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.9764579817542502}",25,0,-62.678084234795435,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.9746701816018073}",20,0,-27.564315833275515,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.972885654738584}",20,0,-105.21227369082641,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9711043951715043}",20,0,-77.66194569325715,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.9693263969184648}",20,0,-131.08211100533737,"{0: 9, 1: 3, 2: 4, 3: 4, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.9675516540083148}",25,0,-85.31750290450312,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9657801604808361}",20,8,-21.199184570853333,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.9640119103867235}",20,0,-65.70494870619662,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.962246897787564}",25,0,-96.82756370612948,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.9604851167558174}",25,0,-115.15168442827479,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.958726561374796}",20,0,-107.226589674679,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9569712257386455}",30,0,-139.56391607440074,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.955219103952324}",30,0,-237.53416940722568,"{0: 14, 1: 2, 2: 10, 3: 1, 4: 3}",0
27,False,"{'a': 0.4, 'e': 0.9534701901315836}",20,0,-63.64391415997851,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.9517244784029493}",25,0,-124.53193149992605,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.9499819629037001}",25,0,-112.40910794171262,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.9482426377818489}",20,0,-129.7337502388047,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.9465064971961233}",20,0,-136.41041644078078,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9447735353159455}",25,0,-253.5149128844125,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
33,False,"{'a': 0.4, 'e': 0.9430437463214132}",25,8,-83.52178115882849,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 0}",1
34,False,"{'a': 0.4, 'e': 0.9413171244032792}",20,0,-174.78581960878716,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.9395936637629331}",20,0,-92.2309686507052,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.9378733586123807}",25,16,-50.27858740922688,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.4, 'e': 0.9361562031742255}",25,0,-191.8185704780982,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
38,False,"{'a': 0.4, 'e': 0.9344421916816487}",25,0,-80.30909673510116,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9327313183783896}",30,0,-45.17144229621383,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.4, 'e': 0.9310235775187273}",30,0,-213.61553361101,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
41,False,"{'a': 0.4, 'e': 0.9293189633674603}",20,0,-62.64607069259293,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
42,False,"{'a': 0.4, 'e': 0.9276174701998879}",20,0,-152.03802481067933,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.9259190923017907}",30,0,-164.51623981118726,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9242238239694115}",25,0,-84.5395802028979,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.922531659509436}",20,7,-1.0125102506839736,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.9208425932389742}",25,0,-20.360944097925888,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.9191566194855405}",30,0,-125.76192468242456,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.4, 'e': 0.9174737325870351}",20,0,0.8583310128520749,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.4, 'e': 0.9157939268917255}",25,0,-75.48432414735436,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.9141171967582261}",30,0,-145.54315083935862,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.4, 'e': 0.9124435365554808}",20,7,-67.7977496412653,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.4, 'e': 0.9107729406627434}",20,0,-175.76153388998978,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
53,False,"{'a': 0.4, 'e': 0.9091054034695581}",20,4,-39.70168429466215,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.9074409193757423}",25,0,-114.35877326646948,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.9057794827913659}",25,0,-106.2160120782497,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9041210881367339}",20,0,-82.91131100618875,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.902465729842367}",30,0,-102.35258177453922,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.9008134023489831}",20,5,-79.84991566863143,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.4, 'e': 0.8991641001074787}",20,0,-74.60452790631733,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
60,False,"{'a': 0.4, 'e': 0.8975178175789101}",25,2,-78.98996334112367,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
61,False,"{'a': 0.4, 'e': 0.8958745492344751}",25,0,-136.66091096979247,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.4, 'e': 0.8942342895554936}",30,0,-152.76509752682188,"{0: 15, 1: 1, 2: 12, 3: 2, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.8925970330333903}",25,0,-72.12588941611254,"{0: 17, 1: 4, 2: 1, 3: 3, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.8909627741696753}",25,0,-68.72862836949693,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.8893315074759258}",20,0,-84.95085099848092,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.4, 'e': 0.8877032274737682}",25,0,-47.59671993307407,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.8860779286948586}",35,0,-57.36641990728403,"{0: 24, 1: 3, 2: 8, 3: 0, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.8844556056808658}",20,0,7.644342888828546,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.8828362529834517}",20,0,-92.62794494020275,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.4, 'e': 0.881219865164254}",35,0,-93.60915456729303,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
71,False,"{'a': 0.4, 'e': 0.8796064367948674}",20,8,-50.58622853631883,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.8779959624568252}",25,10,-23.61541661300653,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.876388436741582}",20,0,-107.02385341500397,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.8747838542504941}",25,0,-100.63785418770722,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.8731822095948031}",25,0,-111.82282470253405,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
76,False,"{'a': 0.4, 'e': 0.871583497395616}",30,0,-174.20385756344345,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
77,False,"{'a': 0.4, 'e': 0.8699877122838889}",35,0,-167.96519640436682,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
78,False,"{'a': 0.4, 'e': 0.8683948489004074}",20,0,-65.28579922895763,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.8668049018957698}",20,0,-29.39757107437282,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.4, 'e': 0.8652178659303681}",30,0,-184.10665319175234,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.4, 'e': 0.8636337356743711}",25,0,-126.78648395781967,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.4, 'e': 0.8620525058077059}",25,6,-1.3797277717498146,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.86047417102004}",20,0,-44.181413615881226,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
84,False,"{'a': 0.4, 'e': 0.8588987260107636}",25,0,-57.57590969511745,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.4, 'e': 0.857326165488972}",20,0,-232.67351146451773,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 4}",0
86,False,"{'a': 0.4, 'e': 0.8557564841734474}",25,0,-100.30708434195387,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.4, 'e': 0.8541896767926417}",35,0,-116.70653893415708,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
88,False,"{'a': 0.4, 'e': 0.852625738084658}",25,0,-98.55112540400275,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.4, 'e': 0.851064662797234}",25,0,-74.82522693577094,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.8495064456877235}",20,5,-8.791135088307694,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.8479510815230789}",20,5,-73.44417557793291,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.4, 'e': 0.8463985650798341}",20,0,-22.827041041081916,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
93,False,"{'a': 0.4, 'e': 0.8448488911440867}",20,0,-98.70336495090687,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.4, 'e': 0.84330205451148}",25,0,-183.43621641366653,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
