trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.86537504974015,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.88403680317,"{0: 9, 1: 7, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-231.59087539791713,"{0: 17, 1: 6, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-38.911954149331166,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-130.8877306015382,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-134.36511153922945,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,5,-98.92937859743576,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,1,-161.59290256547865,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-138.64115576603783,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-101.29060733842518,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-168.78275287501185,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-152.13326066197075,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-142.59457186374806,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-196.8440357601165,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,7,-71.23970949987834,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-91.33788121731529,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-159.36788591033581,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-129.77062522612127,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-121.2103823307595,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-45.918170124116706,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-173.48707230777703,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-81.95388598238961,"{0: 11, 1: 7, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-160.4349880604016,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-154.28437615138284,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-125.4439512831535,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-151.53197782782718,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-291.4324630155823,"{0: 6, 1: 4, 2: 10, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-126.59194886072318,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-113.9842585210767,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-86.98313569805673,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
